Абаза;Хакасия;39047
Абакан;Хакасия;39022
Абан;Красноярский край;39163
Абатский;Тюменская область;34556
Абдулино;Оренбургская область;35355
Абинск;Краснодарский край;86150
Авангардное;Калининградская область;40151
Агаповка;Челябинская область;35140
Агинское;Красноярский край;39142
Агрыз;Татарстан;85551
Адамовка;Оренбургская область;35365
Адлер;Краснодарский край;8622
Адреаполь;Тверская область;48267
Адыгейск;Адыгея;87772
Адыге-Хабль;Карачаево-Черкесия;87870
Азнакаево;Татарстан;85511
Азов;Ростовская область;86342
Азово;Омская область;38141
Айкино;Коми;82134
Акбулак;Коми;82134
Акбулак;Оренбургская область;35335
Аксай;Ростовская область;86350
Аксубаево;Татарстан;84344
Актаныш;Татарстан;85552
Акулово;Калининградская область;40162
Акша;Читинская область;30231
Акъяр;Башкортостан;34758
Алагир;Северная Осетия;86731
Алапаевск;Свердловская область;34346
Алатырь;Чувашия;83531
Алдан;Саха-Якутия;41145
Алеевка;Калининградская область;40158
Алейск;Алтайский край;38553
Александров;Владимирская область;49244
Александров Гай;Саратовская область;84578
Александровка;Калининградская область;40158
Александровка;Оренбургская область;35359
Александровск;Пермская область;34274
Александровское;Ставропольский край;86557
Александровское;Томская область;38255
Александро-Невский;Рязанская область;49158
Алексеевка;Самарская область;84671
Алексеевка;Калининградская область;40164
Алексеевка;Белгородская область;47234
Алексеевское;Татарстан;84341
Алексин;Тульская область;48753
Аликово;Чувашия;83535
Алнаши;Удмуртия;34150
Алтайское;Алтайский край;38537
Алькеево;Татарстан;84346
Альменево;Курганская область;35242
Альметьевск;Татарстан;8553
Амга;Саха-Якутия;41142
Амурск;Хабаровский край;42142
Анадырь;Чукотский автономный округ;42722
Анапа;Краснодарский край;86133
Ангарск;Иркутская область;3951,39518
Анжеро-Судженск;Кемеровская область;38453
Анна;Воронежская область;47346
Антропово;Костромская область;49430
Анучино;Приморский край;42362
Апастово;Татарстан;84376
Апатиты;Мурманская область;81555
Апшеронск;Краснодарский край;86152
Арбаж;Кировская область;83330
Аргаяш;Челябинская область;35132
Аргун;Чечня;87147
Ардатов;Мордовия;83431
Ардатов;Нижегородская область;83179
Ардон;Северная Осетия;86732
Арзамас;Нижегородская область;83147
Арзгир;Ставропольский край;86560
Аркадак;Саратовская область;84542
Армавир;Краснодарский край;86137
Армизонское;Тюменская область;34547
Аромашево;Тюменская область;34545
Арсеньев;Приморский край;42361
Арсеньево;Тульская область;48733
Арск;Татарстан;84366
Артем;Приморский край;42337
Артемовский;Свердловская область;34363
Арти;Свердловская область;34395
Архангельск;Архангельская область;8182
Архангельское;Башкортостан;34774
Архангельское;Тульская область;48744
Архонская;Северная Осетия;86739
Асбест;Свердловская область;34365
Асекеево;Оренбургская область;35351
Асино;Томская область;38241
Аскарово;Башкортостан;34772
Аскиз;Хакасия;39045
Аскино;Башкортостан;34771
Астрахань;Астраханская область;8512
Аткарск;Саратовская область;84552
Атня;Татарстан;84369
Атюрьево;Мордовия;83454
Атяшево;Мордовия;83434
Ахтубинск-1;Астраханская область;85111
Ачайваям;Камчатка;4154451
Ачинск;Красноярский край;39151
Ачинское;Читинская область;30239
Ачит;Свердловская область;34391
Ачхой-Мартан;Чечня;87142
Аша;Челябинская область;35159
Аше;Краснодарский край;8622
Аян;Хабаровский край;42147
Бабаево;Вологодская область;81743
Бабушкино;Калининградская область;40144
Бабынино;Калужская область;48448
Бавлы;Татарстан;85519
Багаевский;Ростовская область;86357
Баган;Новосибирская область;38353
Багратионово;Калининградская область;40142
Багратионовск;Калининградская область;40156
Баево;Алтайский край;38515
Базарный Карабулак;Саратовская область;84591
Базарный Сызган;Ульяновская область;84240
Байкалово;Свердловская область;34362
Байконур;Алтай;33622
Баймак;Башкортостан;34751
Бакалы;Башкортостан;34742
Баксан;Кабардино-Балкария;86634
Бакчар;Томская область;38249
Балабаново;Калужская область;48458
Балаково;Саратовская область;84570
Балахна;Нижегородская область;83144
Балахта;Красноярский край;39148
Балашов;Саратовская область;84545
Балезино;Удмуртия;34166
Балтай;Саратовская область;84592
Балтаси;Татарстан;84368
Балтийск;Калининградская область;40145
Барабинск;Новосибирская область;38361
Баргузин;Бурятия;30131
Барда;Пермская область;34299
Барнаул;Алтайский край;3852
Барыш;Ульяновская область;84253
Батагай-Алыта;Саха-Якутия;41126
Батайск;Ростовская область;86354
Батецкий;Новгородская область;81661
Батырево;Чувашия;83532
Башмаково;Пензенская область;84143
Беднодемьяновск;Пензенская область;84151
Бежаницы;Псковская область;81141
Бежецк;Тверская область;48231
Безенчук;Самарская область;84676
Бекенево;Калининградская область;40157
Беково;Пензенская область;84141
Белая;Курская область;47149
Белая Глина;Краснодарский край;86154
Белая Калитва;Ростовская область;86313
Белая Холуница;Кировская область;83364
Белгород;Белгородская область;4722
Белебей;Башкортостан;34716
Белебей;Читинская область;30232
Белев;Тульская область;48742
Белинский;Пензенская область;84153
Белкино;Калининградская область;40157
Белово;Кемеровская область;38452
Белогорск;Амурская область;41641
Белозерск;Вологодская область;81756
Белозерское;Курганская область;35232
Белокуриха;Алтайский край;38577
Беломорск;Карелия;81437
Белорецк;Башкортостан;34792
Белореченск;Краснодарский край;86155
Белоярский;Свердловская область;34377
Белоярский;Ханты-Мансийский автономный округ;34670
Белый;Тверская область;48250
Белый яр;Калининградская область;40157
Белый Яр;Хакасия;39041
Белый Яр;Томская область;38258
Беляевка;Оренбургская область;35334
Бердигестях;Саха-Якутия;41131
Бердск;Новосибирская область;38341
Бердюжье;Тюменская область;34554
Береговое;Калининградская область;4015668
Березник;Архангельская область;81831
Березники;Пермская область;34242
Березовка;Пермская область;34251
Березовка;Калининградская область;40158
Березовка;Калининградская область;4015668
Березовка;Калининградская область;40159
Березовка;Красноярский край;39175
Березово;Ханты-Мансийский автономный округ;34674
Березовский;Свердловская область;34369
Березовский;Кемеровская область;38445
Беслан;Северная Осетия;86737
Бессоновка;Пензенская область;84140
Бея;Хакасия;39044
Бижбуляк;Башкортостан;34743
Бийск;Алтайский край;3854
Бикин;Хабаровский край;42155
Биробиджан;Еврейская автономная область;42622
Бирск;Башкортостан;34714
Бирюлюсы;Красноярский край;39150
Бичура;Бурятия;30133
Благовещенка;Алтайский край;38564
Благовещенск;Башкортостан;34766
Благовещенск;Амурская область;4162
Благодарный;Ставропольский край;86549
Ближнее;Калининградская область;40158
Бобров;Воронежская область;47350
Богатово;Калининградская область;40158
Богатые Сабы;Татарстан;84362
Богданович;Свердловская область;34376
Боговарово;Костромская область;49451
Богородицк;Тульская область;48761
Богородск;Нижегородская область;83170
Богородское;Кировская область;83333
Богородское;Хабаровский край;42151
Боготол;Красноярский край;39157
Боград;Хакасия;39034
Богучаны;Красноярский край;39162
Богучар;Воронежская область;47366
Боковская;Ростовская область;86312
Бокситогорск;Ленинградская область;81266
Болгар;Татарстан;8247
Бологое;Тверская область;48238
Болотное;Новосибирская область;38349
Болхов;Орловская область;48640
Большаково;Калининградская область;40163
Большая Глушица;Самарская область;84673
Большая Мартыновка;Ростовская область;86395
Большая Мурта;Красноярский край;39118
Большая Поляна;Калининградская область;40159
Большая Соснова;Пермская область;34257
Большая Черниговка;Самарская область;84672
Большеречье;Омская область;38169
Большеустьикинское;Башкортостан;34770
Большие Березняки;Мордовия;83436
Большие Горки;Калининградская область;40159
Большие Уки;Омская область;38162
Большое Болдино;Нижегородская область;83138
Большое Игнатово;Мордовия;83442
Большое Мурашкино;Нижегородская область;83167
Большое Нагаткино;Ульяновская область;84245
Большое село;Калининградская область;40162
Большое Село;Ярославская область;48542
Большое Солдатское;Курская область;47136
Большое Сорокино;Тюменская область;34550
Большой Камень;Приморский край;42335
Большой Улуй;Красноярский край;39159
Большой Царын;Калмыкия;84747
Бондари;Тамбовская область;47534
Бор;Нижегородская область;83159
Борзя;Читинская область;30233
Борисовка;Белгородская область;47246
Борисоглебск;Воронежская область;47354
Борисоглебский;Ярославская область;48539
Боровичи;Новгородская область;81664
Боровск;Калужская область;48438
Борогонцы;Саха-Якутия;41131
Бородино;Красноярский край;39168
Борское;Самарская область;84667
Борское;Калининградская область;40159
Братск;Иркутская область;3953
Бреды;Челябинская область;35141
Брейтово;Ярославская область;48545
Брюховецкая;Краснодарский край;86156
Брянск;Брянская область;48322
Брянское;Калининградская область;40143
Бугульма;Татарстан;85514
Бугуруслан;Оренбургская область;35352
Буденновск;Ставропольский край;86559
Буздяк;Башкортостан;34773
Бузулук;Оренбургская область;35342
Буинск;Татарстан;84374
Буй;Костромская область;49435
Бураево;Башкортостан;34756
Бурла;Алтайский край;38572
Бутурлино;Нижегородская область;83172
Бутурлиновка;Воронежская область;47361
Быстрый Исток;Алтайский край;38571
Бычково;Калининградская область;40157
Вавож;Удмуртия;34155
Вагай;Тюменская область;34519
Вад;Нижегородская область;83141
Вадинск;Пензенская область;84142
Валдай;Новгородская область;81666
Валуйки;Белгородская область;47236
Ванино;Хабаровский край;42137
Варгаши;Курганская область;35233
Вардане;Краснодарский край;8622
Варна;Челябинская область;35142
Варнавино;Нижегородская область;83158
Васильево;Татарстан;84371
Васильково;Калининградская область;40151
